id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
62033,Historic Home :  Bedroom - Private Bathroom,301435,Fred,,North,40.77278,-74.17206,Private room,85,2,82,2024-10-23,0.49,1,359,5,
184421,Modernity in a NEW YORK minute,884543,Madeline,,East,40.73165,-74.1674,Entire home/apt,,3,10,2024-10-30,0.06,1,179,4,
2159185,Hello World!  Zen room.,9169027,Kimberly B,,West,40.74447,-74.19457,Private room,48,9,104,2024-12-12,0.79,3,90,4,
2277901,Luxury Muwuyu Queen enSuite @MushaindoroHS,11308972,Tendai D,,West,40.73465,-74.24753,Private room,72,3,72,2024-12-27,0.56,2,350,10,
2279324,1BR Private Apartment,11308972,Tendai D,,West,40.73392,-74.24569,Entire home/apt,99,5,72,2024-11-13,0.56,2,361,8,
2695185,Hello World!!  au suite,9169027,Kimberly B,,West,40.74623,-74.19658,Private room,60,10,120,2024-11-30,0.96,3,365,8,
2927685,Hello World!!! Single?  or twins?,9169027,Kimberly B,,West,40.74506,-74.19784,Private room,50,9,112,2024-12-14,0.89,3,364,4,
4015993,Forest Hill Colonial,20822869,Tom,,North,40.7672,-74.17303,Private room,82,28,50,2024-10-26,0.40,1,173,5,
4408881,Victorian Home Large Apt by NYC,296707902,Sergio,,North,40.78038,-74.17197,Entire home/apt,81,5,187,2024-11-15,1.53,1,356,11,
6134188,Beautiful Colonial near NYC!,26222479,Caro-Lina,,North,40.76394,-74.17272,Entire home/apt,1171,2,53,2018-01-01,0.45,1,27,0,
8116202,Ironbound Oasis: Urban Retreat Near NYC,23630245,Bart,,East,40.7315,-74.16316,Entire home/apt,100,28,121,2024-09-24,1.20,1,142,2,
8404849,Serene Hidden Gem>>AIRPT 8min~DWTN 12min~NYC 25min,23767297,Sandy & Tone,,South,40.70617,-74.21037,Entire home/apt,125,30,41,2022-07-04,1.07,1,59,0,
8628016,Cozy and private. Near New York/Newark Airport.,45377447,Katiuscia & Andre,,East,40.72656,-74.15298,Private room,120,2,7,2017-09-01,0.07,1,362,0,
8906383,Quiet and comfortable room close to newark airport,20241104,Marlene R,,East,40.73321,-74.14139,Private room,61,1,132,2024-11-18,1.19,2,57,8,
9357365,44  3BR  Nice Apt  Near NYC  Rutgers Seton NJIT,24815236,Mario,,West,40.74446,-74.22019,Entire home/apt,536,7,16,2024-08-07,0.51,29,359,5,
9449534,City Cove: Access to Airport & NYC,48966617,Martin,,South,40.70607376098633,-74.20662689208984,Entire home/apt,80,10,22,2024-11-02,0.20,1,177,1,
9733571,153 1A  Entire Mini-Studio  Near NYC and EWR,24815236,Mario,,West,40.74075,-74.22714,Entire home/apt,1110,7,45,2024-07-27,0.48,29,363,5,
10218263,Living room with slide door lock from inside,20241104,Marlene R,,East,40.73244094848633,-74.1421127319336,Private room,49,1,216,2024-11-07,2.05,2,147,44,
11371204,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73059,-74.16423,Private room,103,1,410,2024-10-13,3.82,5,360,6,
11371231,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73094,-74.16227,Private room,103,1,344,2024-11-10,3.20,5,363,2,
11420487,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73124,-74.16298,Private room,103,1,276,2024-05-02,2.57,5,290,1,
11460244,Best Room To Visit NYC✈️Newark Airport-Walk➤Subway,1315486,Roy,,East,40.73204,-74.16218,Private room,103,1,256,2023-06-30,2.38,5,322,0,
14090491,1BR located in Newark Min. to NJPAC/Prudential Ctr,84758841,Kimberly,,South,40.71491,-74.19023,Private room,65,1,393,2024-12-13,3.82,1,346,41,
14673653,Inviting,91207866,Nicholas,,West,40.73899,-74.22968,Private room,53,1,1,2024-11-16,0.65,2,364,1,
15927060,298 1/2 2A1  Large Private Room near NYC & EWR,24815236,Mario,,West,40.74123,-74.19896,Private room,784,7,27,2024-12-13,0.29,29,354,5,
15972117,Spacious 3 Br 2 BTH close to many attractions,98835488,Sophya,,East,40.71967,-74.1773,Entire home/apt,159,2,129,2024-12-08,2.82,1,361,20,
16130273,298 1/2  2A3 Spacious Private room near NYC,24815236,Mario,,West,40.74123,-74.19896,Private room,1075,7,15,2024-05-24,0.15,29,363,1,
16142979,Quaint Home Newly Renovated Artistic Apt near NYC,1815182,Vlada,,North,40.78202,-74.16809,Entire home/apt,62,5,92,2024-07-08,0.96,1,270,6,
16171287,153 3A - Entire 1 BR Apartment Near  NYC and EWR,24815236,Mario,,West,40.74081,-74.22709,Entire home/apt,95,7,56,2024-11-01,0.62,29,364,9,
16373790,"Ideal for families, easy NYC train + 2 Parking",17270,Rocio,,Central,40.75134,-74.16936,Entire home/apt,341,4,216,2024-12-13,2.23,1,195,29,
16878443,"Clean, coisy, comfortable room",112512558,Frank,,South,40.72316,-74.20823,Private room,44,1,49,2022-09-16,0.52,5,364,0,
16998232,Walk 2 NY Train | Yard | Pets OK | WFH Office,113887164,Heba,,North,40.77472,-74.18128,Entire home/apt,164,1,70,2024-12-26,0.93,1,280,24,
17132138,Long Term HealthCare Worker Friendly Furnished,8269604,Naimah,,East,40.73509,-74.17072,Private room,115,30,0,,,1,180,0,
17210619,173 2B2 Private Room near NYC and EWR airport,176890248,Jacqueline,,West,40.74573,-74.19733,Private room,1070,7,39,2023-09-08,0.43,1,364,0,
17242810,173 2B1 Private room near NYC and EWR airport,359895306,Rentamc1,,West,40.74573,-74.19733,Private room,1075,7,51,2024-05-05,0.54,1,364,2,
17243137,173 2B3 Private room near NYC and EWR airport,24815236,Mario,,West,40.74573,-74.19733,Private room,931,7,46,2024-12-17,0.49,29,360,7,
17253812,Spacious Rm. w/en suite close to EWR & Cruise Port,116284956,Louis,,South,40.7025,-74.21026,Private room,89,1,280,2024-11-20,2.99,3,143,37,
17545586,Cozy studio in Newark near Manhattan NYC,101410996,Walter & Ismalia,,South,40.71684,-74.19546,Entire home/apt,107,2,307,2024-12-28,3.24,1,362,27,
18483457,153 1B1M Private room near NYC or EWR,24815236,Mario,,West,40.74081,-74.22709,Private room,1045,7,13,2022-12-22,0.14,29,362,0,
18483839,153 1B2M Private room near NYC or EWR,24815236,Mario,,West,40.74081,-74.22709,Private room,45,7,14,2024-11-22,0.16,29,363,3,
