RegionID,SizeRank,RegionName,RegionType,StateName,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31
102001,0,United States,country,,202353.0,234105.0,259911.0,286489.0,299682.0,302957.0,285589.0,269052.0,259837.0,191027.0,217427.0,164026.0,178174.0,227391.0,241517.0,262552.0,311331.0,318467.0,290401.0,285866.0,300752.0,279331.0,260160.0,181361.0,191965.0,285478.0,305559.0,315327.0,348072.0,251204.0,255103.0,265267.0,231505.0,221106.0,248398.0,190708.0,193050.0,264158.0,265580.0,281927.0,315877.0,281891.0,305755.0,272283.0,251614.0,241178.0,260616.0,208058.0,224379.0,284985.0,291416.0,335079.0,350163.0,327317.0,353019.0,287065.0,317345.0,294061.0,293955.0,243392.0,243704.0,311018.0,347052.0,398670.0,390704.0,412745.0,408736.0,346787.0,347112.0,297578.0,307885.0,242023.0,238288.0,296085.0,335913.0,378546.0,402273.0,405505.0,386809.0,357075.0,369956.0,285053.0,330746.0,242546.0,252601.0,341880.0,370688.0,402278.0,467260.0,464673.0,422315.0,400519.0,379631.0,297578.0,357623.0,263780.0,278761.0,364458.0,390135.0,435562.0,490515.0,432995.0,460602.0,415574.0,382147.0,359483.0,370099.0,289397.0,283206.0,401786.0,388482.0,473157.0,517640.0,444403.0,477798.0,404838.0,399877.0,363576.0,354825.0,282067.0,280289.0,381660.0,403443.0,466179.0,493578.0,459744.0,477712.0,373531.0,400147.0,353051.0,320188.0,259484.0,276833.0,355605.0,401618.0,468998.0,452780.0,466942.0,460740.0,391852.0,405232.0,343630.0,359070.0,288316.0,289511.0,361738.0,314223.0,308125.0,430010.0,513013.0,494117.0,498197.0,509080.0,434350.0,466642.0,345934.0,342271.0,466092.0,492547.0,497620.0,582614.0,545382.0,536679.0,502274.0,479142.0,461252.0,462697.0,346873.0,336368.0,443893.0,442009.0,467579.0,485196.0,414316.0,431479.0,382310.0,334032.0,288007.0,274356.0,212911.0,234046.0,320187.0,296573.0,358750.0,382043.0,327452.0,356541.0,309418.0,297306.0,260035.0,248471.0,213378.0,236362.0,285106.0,321590.0,354972.0,330561.0,347162.0,337364.0,290574.0,310959.0,268583.0,275927.0,225902.0
394913,1,"New York, NY",msa,NY,8588.0,9074.0,10104.0,10498.0,11400.0,13977.0,12675.0,11007.0,10815.0,8237.0,8881.0,6387.0,5746.0,6722.0,7227.0,8156.0,10073.0,11796.0,11910.0,11309.0,11765.0,14260.0,11763.0,8616.0,7104.0,18630.0,9988.0,10115.0,15898.0,11533.0,10524.0,,8821.0,8727.0,9391.0,8052.0,7777.0,9024.0,8845.0,9471.0,11403.0,10913.0,11567.0,10001.0,8916.0,8293.0,9199.0,8263.0,7286.0,8852.0,9000.0,10647.0,12422.0,12423.0,13419.0,10774.0,10296.0,9758.0,11294.0,10133.0,8637.0,9730.0,10917.0,13357.0,13927.0,16413.0,16844.0,14789.0,14603.0,12029.0,13246.0,11005.0,8738.0,10170.0,10549.0,12358.0,14033.0,15755.0,15530.0,13946.0,14540.0,11487.0,13862.0,10828.0,9947.0,11455.0,11632.0,12829.0,16692.0,18306.0,17697.0,16261.0,15847.0,13217.0,15546.0,12351.0,12055.0,13858.0,13388.0,14423.0,18563.0,17596.0,20157.0,17858.0,15850.0,15534.0,17088.0,15037.0,12836.0,15471.0,14442.0,17429.0,20521.0,18610.0,21814.0,17958.0,17708.0,16109.0,16463.0,14532.0,12406.0,14047.0,14780.0,16869.0,19562.0,19467.0,21039.0,15626.0,17738.0,15510.0,15138.0,13609.0,11303.0,13408.0,14125.0,16558.0,17575.0,18920.0,19169.0,16066.0,16662.0,14235.0,15577.0,14291.0,11994.0,12418.0,9916.0,10358.0,12710.0,15650.0,18176.0,19520.0,21840.0,19259.0,22592.0,19292.0,16548.0,20695.0,18940.0,18663.0,23498.0,22986.0,23975.0,20922.0,21509.0,19669.0,21037.0,18313.0,15249.0,18239.0,16506.0,18155.0,21280.0,19410.0,20756.0,16754.0,15012.0,14218.0,13244.0,11159.0,9777.0,12123.0,10770.0,13022.0,15181.0,13545.0,15554.0,12961.0,12778.0,11075.0,10739.0,10330.0,8940.0,10038.0,11046.0,12369.0,12704.0,14361.0,14522.0,12171.0,12414.0,10582.0,12316.0,9916.0
753899,2,"Los Angeles, CA",msa,CA,4139.0,5042.0,6073.0,6867.0,7227.0,8229.0,7814.0,7786.0,8530.0,6493.0,7743.0,5975.0,6113.0,7825.0,8144.0,8549.0,9897.0,10227.0,9023.0,9111.0,9522.0,8179.0,9476.0,6533.0,6682.0,9197.0,9086.0,9953.0,10526.0,8742.0,8360.0,8304.0,7515.0,7295.0,8642.0,6660.0,6350.0,8898.0,8474.0,8344.0,9377.0,8398.0,9087.0,8468.0,7734.0,7852.0,8609.0,6952.0,7418.0,9814.0,9463.0,10635.0,10886.0,10215.0,11290.0,9011.0,10392.0,9560.0,10677.0,7662.0,7671.0,9981.0,10419.0,11566.0,10608.0,11478.0,11366.0,9366.0,9800.0,8290.0,8802.0,6803.0,6617.0,8392.0,9564.0,9747.0,9820.0,10032.0,9498.0,8809.0,9248.0,7350.0,8635.0,6401.0,6518.0,9425.0,10324.0,10299.0,11365.0,11494.0,10112.0,9844.0,9404.0,7214.0,9610.0,7053.0,6923.0,9336.0,9828.0,10409.0,11289.0,10221.0,10879.0,10095.0,9320.0,8993.0,9308.0,7274.0,6940.0,10141.0,9110.0,11033.0,12202.0,9994.0,11443.0,9823.0,9418.0,8671.0,8671.0,6843.0,6765.0,9761.0,9356.0,10331.0,10611.0,9999.0,10393.0,7933.0,8654.0,7592.0,7148.0,5689.0,6056.0,8067.0,9184.0,10142.0,9571.0,9902.0,10044.0,8777.0,9294.0,8089.0,8625.0,6859.0,6965.0,8319.0,6011.0,4965.0,7409.0,10189.0,10169.0,10788.0,10909.0,9626.0,10991.0,8179.0,7934.0,11515.0,12224.0,11284.0,12491.0,11629.0,11302.0,10895.0,10496.0,9987.0,10127.0,7313.0,7197.0,10339.0,9908.0,9425.0,9224.0,7507.0,7868.0,7250.0,6263.0,5415.0,5199.0,4198.0,4608.0,6659.0,6006.0,7135.0,7275.0,6204.0,6980.0,5760.0,5786.0,5139.0,4984.0,4405.0,4990.0,6106.0,6722.0,7133.0,6391.0,7031.0,6807.0,5877.0,6656.0,5687.0,5914.0,4501.0
394463,3,"Chicago, IL",msa,IL,5577.0,6916.0,7234.0,7948.0,8778.0,8840.0,8178.0,7598.0,6629.0,4664.0,4949.0,3666.0,3669.0,4789.0,5243.0,6181.0,7977.0,8910.0,8535.0,8326.0,8863.0,8169.0,7068.0,4810.0,4707.0,6903.0,8181.0,8682.0,10467.0,6731.0,6669.0,6060.0,5536.0,5254.0,5893.0,4790.0,4291.0,6116.0,6344.0,7438.0,8715.0,7522.0,8368.0,7079.0,6739.0,6452.0,7136.0,5481.0,5477.0,7306.0,7644.0,9217.0,10232.0,9673.0,10679.0,8681.0,9624.0,8665.0,8370.0,7840.0,7049.0,9012.0,10657.0,12474.0,12976.0,14145.0,13961.0,11381.0,12218.0,9920.0,10384.0,8111.0,7495.0,9222.0,11041.0,12435.0,14165.0,14107.0,13072.0,12479.0,12629.0,9253.0,10524.0,7636.0,7489.0,10395.0,11850.0,13440.0,16696.0,16298.0,14864.0,13506.0,12938.0,9443.0,10962.0,8404.0,8390.0,10878.0,12803.0,14629.0,17438.0,15168.0,15827.0,13175.0,12063.0,10940.0,10995.0,8747.0,7712.0,12346.0,12646.0,15558.0,17871.0,14633.0,15405.0,12507.0,11499.0,10162.0,9817.0,7439.0,7008.0,10949.0,12760.0,15270.0,16596.0,14540.0,14623.0,11180.0,11841.0,10284.0,8898.0,6786.0,7061.0,10011.0,12372.0,14928.0,15132.0,15066.0,14345.0,11548.0,11625.0,9636.0,10356.0,7652.0,7607.0,10462.0,10253.0,9124.0,11869.0,15461.0,15503.0,15496.0,17067.0,14244.0,14152.0,11403.0,10943.0,14614.0,16293.0,16420.0,19892.0,19021.0,18334.0,15712.0,14089.0,13386.0,12503.0,9707.0,8557.0,12408.0,12739.0,13749.0,14925.0,12476.0,12132.0,10909.0,9071.0,8076.0,7232.0,5418.0,5637.0,8702.0,8460.0,10385.0,11498.0,9530.0,10392.0,8737.0,8387.0,7034.0,7118.0,5505.0,5778.0,7685.0,9305.0,10223.0,9778.0,10264.0,9902.0,8270.0,8470.0,7556.0,7453.0,6155.0
394514,4,"Dallas, TX",msa,TX,4883.0,5535.0,5976.0,6661.0,6670.0,6556.0,6257.0,5492.0,4664.0,3475.0,4053.0,3015.0,3634.0,4588.0,4656.0,5241.0,5921.0,6207.0,5441.0,5102.0,5353.0,4775.0,4284.0,2889.0,3524.0,5254.0,6170.0,6367.0,5895.0,4407.0,4524.0,4059.0,3859.0,3651.0,3954.0,2848.0,3085.0,4637.0,4867.0,5344.0,5826.0,5221.0,5721.0,4669.0,4142.0,4063.0,4298.0,3304.0,3925.0,5184.0,5525.0,6642.0,6794.0,6503.0,6952.0,5234.0,5474.0,4908.0,4973.0,4129.0,4651.0,6625.0,7267.0,8257.0,7949.0,8419.0,8258.0,6585.0,6172.0,5170.0,5521.0,4113.0,4833.0,6193.0,6865.0,7937.0,8414.0,8338.0,8021.0,6862.0,6803.0,5169.0,6161.0,4164.0,4901.0,6673.0,6979.0,8094.0,9121.0,9145.0,8686.0,7627.0,6907.0,5606.0,7012.0,4860.0,5757.0,7437.0,7721.0,8394.0,9178.0,8506.0,9175.0,8028.0,7157.0,6761.0,6971.0,5033.0,5691.0,7838.0,7688.0,9332.0,9783.0,8794.0,9184.0,7626.0,7247.0,6892.0,6889.0,5218.0,6034.0,7604.0,7908.0,9324.0,9328.0,9096.0,8978.0,6990.0,6875.0,6142.0,6149.0,4433.0,5732.0,7378.0,8115.0,9272.0,8405.0,9143.0,8733.0,7129.0,7178.0,6024.0,6935.0,5165.0,5972.0,7276.0,6235.0,6308.0,9308.0,11019.0,9679.0,9178.0,9026.0,7632.0,8196.0,5530.0,5645.0,7713.0,8710.0,9108.0,10181.0,9931.0,9963.0,9272.0,8567.0,8187.0,8079.0,5960.0,6093.0,7948.0,8105.0,8873.0,8921.0,8036.0,8335.0,7225.0,6169.0,5114.0,4954.0,3725.0,5173.0,6671.0,6335.0,7717.0,7643.0,6727.0,6904.0,5623.0,5246.0,4624.0,4714.0,4200.0,5165.0,6174.0,6986.0,7524.0,6502.0,6901.0,6490.0,5527.0,6034.0,5153.0,5395.0,4329.0
394692,5,"Houston, TX",msa,TX,4095.0,4703.0,4961.0,5559.0,5714.0,5533.0,5126.0,3269.0,3786.0,2879.0,3738.0,2585.0,3094.0,3827.0,3812.0,4258.0,5063.0,5220.0,4498.0,4306.0,4363.0,4084.0,3884.0,2274.0,2956.0,4353.0,4854.0,5210.0,5008.0,3878.0,3807.0,3305.0,3005.0,2687.0,3353.0,2481.0,2673.0,3909.0,4178.0,4552.0,5061.0,4560.0,4669.0,3700.0,3336.0,3070.0,3696.0,2594.0,3062.0,4029.0,4357.0,5307.0,5440.0,5219.0,4587.0,3727.0,4728.0,4232.0,4394.0,3537.0,4002.0,5074.0,5785.0,6802.0,6404.0,6958.0,6856.0,5619.0,5243.0,4192.0,4849.0,3517.0,3314.0,3081.0,3537.0,4089.0,4580.0,7423.0,6964.0,6365.0,6342.0,4854.0,6016.0,4011.0,4360.0,5946.0,6306.0,6682.0,7737.0,7789.0,7052.0,6458.0,5732.0,4444.0,5860.0,4101.0,4714.0,6244.0,6322.0,7094.0,7741.0,7013.0,7788.0,6440.0,5827.0,5485.0,6214.0,4284.0,5282.0,6916.0,6507.0,7955.0,8345.0,7326.0,6043.0,6651.0,6219.0,5918.0,6400.0,4721.0,5449.0,6690.0,6973.0,8064.0,8451.0,7840.0,8067.0,6263.0,6387.0,5685.0,5801.0,3982.0,5034.0,6558.0,7137.0,8102.0,7541.0,8147.0,7851.0,6265.0,6269.0,5559.0,6463.0,4353.0,5252.0,6498.0,5250.0,5412.0,8016.0,9624.0,8241.0,8139.0,8119.0,6982.0,8392.0,5460.0,5276.0,8347.0,8615.0,8989.0,10201.0,9811.0,9592.0,8858.0,8076.0,7619.0,8409.0,5978.0,6589.0,8660.0,8263.0,8933.0,8836.0,7521.0,7497.0,6571.0,5603.0,4647.0,4720.0,3660.0,4342.0,6175.0,5897.0,7054.0,7174.0,,,,,4189.0,4169.0,3658.0,4357.0,5277.0,5999.0,6447.0,5775.0,5868.0,5439.0,5034.0,5374.0,4379.0,4790.0,3894.0
395209,6,"Washington, DC",msa,VA,4116.0,5015.0,5731.0,6220.0,7154.0,6723.0,6405.0,6459.0,6157.0,4743.0,5617.0,3977.0,4386.0,5744.0,6162.0,6593.0,7832.0,7370.0,6735.0,6440.0,6505.0,6197.0,5698.0,4652.0,4330.0,6489.0,7001.0,7431.0,8622.0,5844.0,7176.0,5649.0,5270.0,5133.0,5511.0,4279.0,4301.0,6170.0,6078.0,6492.0,7659.0,6326.0,6291.0,5448.0,4945.0,4901.0,5223.0,4123.0,4442.0,5478.0,6076.0,7361.0,7700.0,6741.0,7002.0,5460.0,5767.0,6208.0,5540.0,4749.0,4673.0,6017.0,7003.0,8448.0,8917.0,8289.0,7941.0,6438.0,6574.0,5369.0,6134.0,4310.0,4512.0,5532.0,6566.0,7542.0,8461.0,7812.0,7290.0,6349.0,6575.0,5207.0,6440.0,4606.0,4714.0,6392.0,7406.0,8169.0,9941.0,9168.0,8034.0,7311.0,7053.0,5898.0,7350.0,5039.0,5431.0,7048.0,8152.0,9590.0,10798.0,9139.0,9246.0,7743.0,7498.0,7275.0,7352.0,6010.0,6022.0,8405.0,8689.0,10362.0,11355.0,9273.0,9173.0,7708.0,7872.0,7107.0,6706.0,5487.0,5373.0,7344.0,8356.0,9825.0,10485.0,9193.0,8766.0,6603.0,7420.0,6952.0,6462.0,5346.0,5356.0,7333.0,8690.0,10291.0,9861.0,9456.0,8770.0,7387.0,7925.0,6613.0,7154.0,5633.0,5725.0,7661.0,7301.0,6961.0,9090.0,10193.0,9981.0,10086.0,10349.0,8960.0,9285.0,6760.0,7328.0,9611.0,11288.0,11597.0,13283.0,11813.0,11237.0,10048.0,10013.0,9845.0,9151.0,6334.0,6609.0,9220.0,9602.0,10236.0,10079.0,8133.0,8012.0,6980.0,6171.0,5249.0,4977.0,3716.0,4570.0,6066.0,6066.0,7457.0,7647.0,6122.0,6398.0,5279.0,5141.0,4637.0,4244.0,3662.0,4327.0,5201.0,6399.0,7193.0,6715.0,6719.0,6203.0,5300.0,6074.0,5039.0,5285.0,4034.0
394974,7,"Philadelphia, PA",msa,PA,4087.0,4886.0,5617.0,5689.0,6351.0,6940.0,6120.0,6476.0,5688.0,3980.0,4446.0,3237.0,3148.0,3996.0,4274.0,4802.0,6114.0,6329.0,6046.0,5491.0,5899.0,6318.0,4769.0,3401.0,3162.0,4938.0,5538.0,6265.0,7724.0,4814.0,4575.0,4147.0,3978.0,3795.0,4355.0,3303.0,3026.0,4172.0,4254.0,4757.0,5683.0,4927.0,5260.0,4365.0,4252.0,4126.0,4375.0,3707.0,3529.0,4658.0,4827.0,5614.0,6254.0,5877.0,6252.0,4895.0,5068.0,5488.0,5001.0,4477.0,3883.0,5001.0,5838.0,6820.0,7387.0,7355.0,7111.0,5889.0,5970.0,5062.0,5480.0,4228.0,3547.0,4510.0,5320.0,6342.0,7475.0,7202.0,6900.0,6010.0,6278.0,5281.0,6242.0,4636.0,4421.0,5548.0,6293.0,7120.0,9024.0,9245.0,8171.0,7273.0,7101.0,5719.0,6984.0,5222.0,5186.0,6372.0,7105.0,8317.0,10332.0,8412.0,8988.0,7650.0,7331.0,7223.0,7321.0,6143.0,5413.0,7598.0,7664.0,9259.0,10788.0,9440.0,9685.0,8081.0,7994.0,7581.0,7306.0,5945.0,4863.0,6884.0,7674.0,8957.0,10698.0,9707.0,9573.0,7570.0,8097.0,7627.0,7058.0,5701.0,5284.0,7043.0,7848.0,9287.0,9611.0,9167.0,8985.0,7645.0,7516.0,6582.0,7123.0,5996.0,5255.0,6797.0,5716.0,4990.0,6544.0,9475.0,9664.0,9658.0,10352.0,8911.0,9542.0,7230.0,6626.0,8593.0,9156.0,9209.0,11916.0,10862.0,11388.0,10845.0,9837.0,9595.0,12386.0,9460.0,7410.0,9143.0,8737.0,8978.0,10182.0,8658.0,9020.0,7668.0,6721.0,6142.0,5807.0,4531.0,4393.0,6083.0,5811.0,6621.0,7614.0,6446.0,7032.0,6032.0,5798.0,5551.0,5294.0,4300.0,4225.0,5161.0,5973.0,6626.0,6796.0,7090.0,6898.0,5888.0,6334.0,5600.0,5822.0,4825.0
394856,8,"Miami, FL",msa,FL,3941.0,4558.0,5074.0,5143.0,5371.0,5049.0,4668.0,4598.0,4908.0,3900.0,5314.0,4276.0,4602.0,5853.0,6132.0,6229.0,7014.0,6953.0,6425.0,6679.0,7256.0,6523.0,7441.0,6003.0,5939.0,8453.0,8392.0,7831.0,8909.0,7589.0,7394.0,7202.0,6712.0,6651.0,8479.0,7471.0,7394.0,9955.0,9789.0,9461.0,9583.0,8537.0,9136.0,8470.0,7444.0,7609.0,8631.0,7083.0,7570.0,9554.0,9699.0,10170.0,9706.0,9131.0,9739.0,8008.0,9312.0,8862.0,9775.0,8287.0,8335.0,10270.0,11407.0,11780.0,10897.0,11240.0,10676.0,9636.0,10084.0,8849.0,9986.0,8342.0,8167.0,10258.0,11205.0,10998.0,10795.0,10655.0,9934.0,9878.0,10614.0,8535.0,10811.0,8123.0,8585.0,11140.0,11590.0,11152.0,12084.0,12003.0,10427.0,10489.0,10160.0,8393.0,10582.0,7839.0,8475.0,10888.0,10883.0,11097.0,11930.0,10111.0,10815.0,9894.0,8899.0,8860.0,9983.0,7973.0,8209.0,11570.0,10451.0,11856.0,11924.0,10115.0,10887.0,7245.0,8817.0,8288.0,9330.0,7878.0,7908.0,10600.0,10661.0,10918.0,11019.0,9878.0,10145.0,8127.0,8917.0,8215.0,7962.0,6657.0,7136.0,9570.0,10844.0,11588.0,10155.0,10850.0,9935.0,8929.0,9157.0,8054.0,9717.0,7933.0,7746.0,10079.0,7142.0,5546.0,8197.0,10738.0,10770.0,10694.0,11722.0,10281.0,12700.0,9778.0,10381.0,14947.0,15660.0,14637.0,16238.0,14550.0,13426.0,12242.0,11866.0,11619.0,13013.0,10551.0,10709.0,14486.0,13830.0,12963.0,12257.0,9788.0,9835.0,8428.0,7944.0,7028.0,7203.0,5646.0,6511.0,9789.0,8585.0,9858.0,9481.0,7845.0,8539.0,7614.0,7304.0,6341.0,6560.0,5464.0,6252.0,7876.0,8760.0,8888.0,7625.0,7775.0,7417.0,6240.0,6450.0,5517.0,6323.0,5387.0
394347,9,"Atlanta, GA",msa,GA,5733.0,6206.0,6430.0,6693.0,7003.0,7050.0,6323.0,6442.0,5874.0,4362.0,5407.0,4366.0,4604.0,5912.0,5781.0,5745.0,7122.0,7076.0,6337.0,6034.0,6361.0,6161.0,6044.0,4149.0,4770.0,6469.0,6713.0,6781.0,7372.0,5652.0,5579.0,6528.0,6942.0,6259.0,5660.0,4021.0,4397.0,6162.0,6025.0,6550.0,7304.0,6805.0,7734.0,7159.0,6694.0,6108.0,6742.0,6109.0,6511.0,7641.0,7356.0,8296.0,9227.0,8167.0,8769.0,7057.0,7807.0,7132.0,6679.0,6553.0,6331.0,7644.0,8034.0,9155.0,8740.0,9123.0,8775.0,7437.0,7489.0,6541.0,6662.0,5794.0,6057.0,7326.0,7864.0,8931.0,9218.0,8992.0,8585.0,7865.0,7983.0,6258.0,7206.0,5730.0,6048.0,8378.0,9010.0,9422.0,10344.0,10252.0,9467.0,8718.0,7847.0,6428.0,8100.0,6139.0,7033.0,9406.0,9846.0,10910.0,11753.0,10485.0,10911.0,9633.0,8832.0,8277.0,8847.0,6403.0,7145.0,10716.0,9654.0,11996.0,12597.0,10819.0,11398.0,9477.0,9349.0,8922.0,8785.0,6725.0,7721.0,10387.0,10700.0,12299.0,12322.0,11546.0,12428.0,9352.0,9950.0,8959.0,8147.0,6524.0,7771.0,10365.0,10892.0,12385.0,11615.0,11876.0,11458.0,9691.0,10106.0,8521.0,9342.0,7262.0,8320.0,9682.0,7893.0,7677.0,11104.0,12207.0,11829.0,11636.0,12034.0,9983.0,11396.0,8108.0,8955.0,12588.0,13004.0,13010.0,14983.0,14325.0,13513.0,11585.0,10751.0,12001.0,11260.0,8760.0,9833.0,12677.0,12010.0,12485.0,12378.0,10325.0,10297.0,9080.0,7793.0,6331.0,6447.0,4743.0,5921.0,8239.0,7464.0,8586.0,8599.0,7325.0,8115.0,6982.0,6537.0,5754.0,5902.0,4997.0,5923.0,7182.0,7802.0,8471.0,7240.0,8023.0,7358.0,6357.0,6730.0,5715.0,6137.0,4745.0
