id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price
6848,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,81.0
7801,Brooklyn,Williamsburg,40.71880722045898,-73.9561767578125,Entire home/apt,310.0
16974,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300.0
19812,Brooklyn,Williamsburg,40.71802,-73.95724,Entire home/apt,105.0
28907,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150.0
33009,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,195.0
121687,Brooklyn,Williamsburg,40.71983,-73.95992,Entire home/apt,200.0
140133,Brooklyn,Williamsburg,40.71347,-73.96035,Entire home/apt,295.0
148259,Brooklyn,Williamsburg,40.71345,-73.94289,Entire home/apt,350.0
44973,Brooklyn,Williamsburg,40.70894,-73.95234,Entire home/apt,98.0
57874,Manhattan,East Harlem,40.80747,-73.94076,Entire home/apt,119.0
65660,Brooklyn,Williamsburg,40.70797,-73.94792,Entire home/apt,95.0
83243,Brooklyn,Bushwick,40.68769,-73.91788,Entire home/apt,56.0
225354,Brooklyn,Williamsburg,40.71085,-73.96672,Entire home/apt,180.0
182069,Manhattan,East Harlem,40.78959,-73.94705,Entire home/apt,100.0
226021,Brooklyn,Williamsburg,40.71137,-73.9465,Entire home/apt,140.0
230877,Manhattan,East Harlem,40.79147,-73.94629,Entire home/apt,135.0
249704,Brooklyn,Williamsburg,40.71065,-73.94102,Entire home/apt,105.0
268335,Brooklyn,Williamsburg,40.72136,-73.95674,Entire home/apt,175.0
274743,Manhattan,Upper East Side,40.77549,-73.95128,Entire home/apt,95.0
276021,Brooklyn,Williamsburg,40.70937,-73.9657,Entire home/apt,350.0
302758,Manhattan,East Harlem,40.79675,-73.93634,Entire home/apt,150.0
322037,Brooklyn,Williamsburg,40.71923,-73.9582,Entire home/apt,175.0
325429,Manhattan,Upper East Side,40.77534,-73.95106,Entire home/apt,179.0
541725,Brooklyn,Williamsburg,40.72057081537138,-73.96010448151357,Entire home/apt,307.0
568661,Brooklyn,Bushwick,40.70783,-73.92071,Entire home/apt,90.0
466277,Brooklyn,Williamsburg,40.71116,-73.94721,Entire home/apt,150.0
514548,Brooklyn,Bushwick,40.69775,-73.92615,Entire home/apt,150.0
581488,Brooklyn,Williamsburg,40.71583,-73.96277,Entire home/apt,282.0
607781,Manhattan,East Harlem,40.79046,-73.94576,Entire home/apt,120.0
776257,Brooklyn,Williamsburg,40.71918,-73.9596,Entire home/apt,325.0
666613,Brooklyn,Williamsburg,40.71084,-73.96205,Entire home/apt,211.0
699472,Brooklyn,Williamsburg,40.709278,-73.954689,Entire home/apt,220.0
749276,Brooklyn,Bushwick,40.69266,-73.90362,Entire home/apt,90.0
